Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-6-4	15.989385007608066	5.08349826499354	5.001608224107188	700.8855957673408	0.6854310486881364	 	 	0.0	15.989385007608066	5.001608224107188	700.2001647186527	
2000-6-5	8.355658264777764	5.102702391234106	5.0151616433851665	700.2001647186527	0.6885826524369018	 	 	0.0	8.355658264777764	5.0151616433851665	699.5115820662157	
2000-6-6	11.05103294558262	5.122752450920122	5.029601132970433	699.5115820662157	0.6608732079395199	 	 	0.0	11.05103294558262	5.029601132970433	698.8507088582762	
2000-6-7	11.547435764949759	5.143642535206968	5.044921740242265	698.8507088582762	0.5527690806618836	 	 	0.0	11.547435764949759	5.044921740242265	698.2979397776144	
2000-6-8	16.6725579904458	5.165366487690921	5.061116275765811	698.2979397776144	0.6624993866932618	 	 	0.0	16.6725579904458	5.061116275765811	697.6354403909212	
2000-6-9	8.173949038069521	5.187917906223472	5.078182793356984	697.6354403909212	0.9999233170081011	 	 	0.0	8.173949038069521	5.078182793356984	696.6355170739131	
2000-6-10	10.486981517294256	5.21129014479807	5.096125280504184	696.6355170739131	0.5082556725728166	 	 	0.0	10.486981517294256	5.096125280504184	696.1272614013402	
2000-6-11	14.760190388246997	5.2354763155087305	5.114924134567032	696.1272614013402	0.7205068177712919	 	 	0.0	14.760190388246997	5.114924134567032	695.406754583569	
2000-6-12	13.812348622950298	5.26046929057993	5.134580308200287	695.406754583569	0.8115799277337818	 	 	0.0	13.812348622950298	5.134580308200287	694.5951746558352	
2000-6-13	11.743993760247774	5.286261704467199	5.155090709063858	694.5951746558352	0.5191993148207706	 	 	0.0	11.743993760247774	5.155090709063858	694.0759753410146	
2000-6-14	12.077585253410007	5.312845956027781	5.176439616242556	694.0759753410146	0.7993332055308159	 	 	0.0	12.077585253410007	5.176439616242556	693.2766421354836	
2000-6-15	10.154409671961824	5.340214210760719	5.198630409216628	693.2766421354836	0.7378495939825851	 	 	0.0	10.154409671961824	5.198630409216628	692.5387925415012	
2000-6-16	9.464406538294329	5.368358403115724	5.221654095960044	692.5387925415012	0.7288225353494958	 	 	0.0	9.464406538294329	5.221654095960044	691.8099700061515	
2000-6-17	11.486205807242714	5.39727023887013	5.245503412076511	691.8099700061515	0.6787718176600835	 	 	0.0	11.486205807242714	5.245503412076511	691.1311981884916	
2000-6-18	10.676143426107016	5.426941197573235	5.270169331857322	691.1311981884916	0.5220744472083838	 	 	0.0	10.676143426107016	5.270169331857322	690.609123741283	
2000-6-19	10.961272381907078	5.4573625350573245	5.295638534024876	690.609123741283	0.6732235955457146	 	 	0.0	10.961272381907078	5.295638534024876	689.9359001457374	
